fighter_name,sex,birth_date,age,status,death_date,location,country,height,weight,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,losses,losses_ko,losses_submission,losses_decision,losses_other,draws,pro_mma,pro_boxing,pro_kickboxing,pro_muay_thai,pro_karate,pro_taekwondo,pro_wrestling,pro_bjj,pro_judo,pro_sambo,win_loss_ratio
Chris Duncan,Male,1993-08-15,32.0,Active,,Scotland/United Kingdom,United Kingdom,"5'10""",155,Lightweight,11,7,1,3,0,2,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,3.6666666666666665
Chris Fishgold,Male,1992-08-11,33.0,Active,,England/United Kingdom,United Kingdom,"5'9""",145,Featherweight,19,6,7,6,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,3.8
Chris Foster,Male,1992-11-02,33.0,Active,,United States,United States,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Chris Goldbaugh,Male,1988-09-09,37.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Gruetzemacher,Male,1986-04-16,40.0,Active,,Arizona/United States,United States,"5'10""",155,Lightweight,15,6,4,5,0,6,2,2,2,0,0,True,False,False,False,False,False,False,False,False,False,2.142857142857143
Chris Gutierrez,Male,1991-07-15,34.0,Active,,Texas/United States,United States,"5'9""",135,Bantamweight,20,8,2,10,0,5,1,1,3,0,0,True,False,False,False,False,False,False,False,False,False,3.3333333333333335
Chris Harris,Male,1987-05-19,38.0,Active,,United States,United States,"6'2""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Haseman,Male,1990-02-18,36.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Hatley Jr.,Male,1993-10-07,32.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Heatherly,Male,1987-12-18,38.0,Active,,Mississippi/United States,United States,"5'10""",170,Welterweight,12,6,2,4,0,7,3,1,3,0,0,True,False,False,False,False,False,False,False,False,False,1.5
Chris Herrera,Male,1993-03-28,32.0,Active,,United States,United States,"5'8""",145,Featherweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Holdsworth,Male,1987-09-02,38.0,Active,,California/United States,United States,"5'11""",135,Bantamweight,5,0,3,2,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,5.0
Chris Honeycutt,Male,1987-05-09,38.0,Active,,California/United States,United States,"6'0""",170,Welterweight,15,6,4,5,0,4,1,1,2,0,0,True,False,False,False,False,False,False,False,False,False,3.0
Chris Horodecki,Male,1987-02-24,39.0,Active,,Ontario/Canada,Canada,"5'8""",145,Featherweight,23,5,8,10,0,10,4,2,4,0,0,True,False,False,False,False,False,False,False,False,False,2.090909090909091
Chris Indich,Male,1985-09-21,40.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Inocencio,Male,1991-07-02,34.0,Active,,United States,United States,"5'9""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Jones,Male,1994-05-22,31.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Kelades,Male,1984-12-09,41.0,Active,,British Columbia/Canada,Canada,"5'7""",125,Flyweight,12,4,3,5,0,4,1,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.4
Chris Lane,Male,1986-06-17,39.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Leben,Male,1980-07-21,45.0,Retired,,Oregon/United States,United States,"5'10""",185,Middleweight,22,13,1,8,0,11,6,2,3,0,0,True,False,False,False,False,False,False,False,False,False,1.8333333333333333
Chris Liguori,Male,1991-01-03,35.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Lokteff,Male,1987-11-19,38.0,Active,,United States,United States,"6'2""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Lozano,Male,1985-07-06,40.0,Active,,Ohio/United States,United States,"6'0""",170,Welterweight,14,8,0,6,0,6,3,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Chris Lytle,Male,1974-06-18,51.0,Active,,Indiana/United States,United States,"6'0""",170,Welterweight,31,13,9,9,0,18,7,6,5,0,0,True,False,False,False,False,False,False,False,False,False,1.631578947368421
Chris Manuel,Male,1992-03-11,33.0,Active,,United States,United States,"5'9""",145,Featherweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Mierzwiak,Male,1990-09-09,35.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Pham,Male,1993-12-02,32.0,Active,,Vietnam,Vietnam,"5'8""",135,Bantamweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Price,Male,1991-02-14,35.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Sanford,Male,1988-06-07,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Saunders,Male,1992-08-19,33.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Simmons,Male,1986-05-12,39.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Soliz,Male,1994-11-01,31.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Spang,Male,1975-06-02,50.0,Active,,Colorado/United States,United States,"6'0""",205,Light Heavyweight,11,7,0,4,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.2
Chris Spicer,Male,1988-09-07,37.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chris Tickle,Male,1987-04-25,38.0,Active,,Missouri/United States,United States,"6'2""",205,Light Heavyweight,8,6,1,1,0,7,4,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Chris Tuchscherer,Male,1975-09-27,50.0,Active,,Minnesota/United States,United States,"6'2""",265,Heavyweight,18,10,3,5,0,7,4,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.25
Chris Wade,Male,1987-06-17,39.0,Active,,New York/United States,United States,"5'7""",145,Featherweight,23,6,7,10,0,9,3,3,3,0,0,True,False,False,False,False,False,False,False,False,False,2.3
Chris Weidman,Male,1984-06-17,42.0,Active,,New York/United States,United States,"6'2""",185,Middleweight,15,9,2,4,0,7,3,2,2,0,0,True,False,False,False,False,False,False,False,False,False,1.875
Chris Wilson,Male,1981-09-30,44.0,Active,,Texas/United States,United States,"5'9""",155,Lightweight,16,3,5,8,0,8,2,3,3,0,0,True,False,False,False,False,False,False,False,False,False,1.7777777777777777
Chris de la Rocha,Male,1989-04-19,36.0,Active,,United States,United States,"6'3""",265,Heavyweight,6,6,0,0,0,3,2,1,0,0,0,True,False,False,False,False,False,False,False,False,False,1.5
Chrissie Daniels,Male,1994-07-27,31.0,Active,,United States,United States,"5'6""",125,Flyweight,3,0,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Christ Franck,Male,1990-05-09,36.0,Active,,Germany,Germany,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Christian Aguilera,Male,1986-03-06,40.0,Active,,California/United States,United States,"6'3""",265,Heavyweight,14,11,2,1,0,7,4,1,2,0,0,True,False,False,False,False,False,False,False,False,False,1.75
Christian Colombo,Male,1977-01-03,49.0,Active,,Germany,Germany,"6'5""",265,Heavyweight,8,8,0,0,0,3,3,0,0,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Christian Echols,Male,1993-11-17,32.0,Active,,United States,United States,"6'1""",185,Middleweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Christian Edwards,Male,1991-05-20,35.0,Active,,United States,United States,"6'2""",205,Light Heavyweight,11,6,1,4,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.2
Christian Gonzalez,Male,1995-01-08,31.0,Active,,Mexico,Mexico,"5'8""",135,Bantamweight,6,2,2,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Christian Holley,Male,1990-06-02,36.0,Active,,United States,United States,"6'0""",170,Welterweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Christian Lee,Male,1998-06-21,27.0,Active,,Singapore,Singapore,"5'7""",170,Welterweight,17,8,8,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,3.4
Christian M'Pumbu,Male,1988-05-15,38.0,Active,,Belgium,Belgium,"6'1""",205,Light Heavyweight,9,5,1,3,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.8
Christian Medina,Male,1994-04-09,31.0,Active,,United States,United States,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Christian Morecraft,Male,1986-01-17,40.0,Active,,New York/United States,United States,"6'5""",265,Heavyweight,7,5,1,1,0,7,4,2,1,0,0,True,False,False,False,False,False,False,False,False,False,0.875
Christian Rodriguez,Male,1997-12-19,28.0,Active,,California/United States,United States,"5'7""",145,Featherweight,12,3,4,5,0,2,0,0,2,0,0,True,False,False,False,False,False,False,False,False,False,4.0
Christian Uflacker,Male,1987-01-17,39.0,Active,,Brazil,Brazil,"6'0""",170,Welterweight,11,1,8,2,0,4,1,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.2
Christian Wellisch,Male,1978-02-20,48.0,Active,,Austria,Austria,"6'3""",265,Heavyweight,11,10,0,1,0,5,5,0,0,0,0,True,False,False,False,False,False,False,False,False,False,1.8333333333333333
Christian Ynastrilla,Male,1993-07-02,32.0,Active,,Spain,Spain,"5'9""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Christina Marks,Male,1993-10-11,32.0,Active,,United States,United States,"5'7""",135,Bantamweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Christophe Leninger,Male,1986-04-17,39.0,Active,,France,France,"5'11""",170,Welterweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Christophe Van Dijck,Male,1989-09-09,36.0,Active,,Belgium,Belgium,"6'0""",170,Welterweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Christopher Gonzalez,Male,1992-05-08,33.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Christopher Hicks,Male,1990-12-02,35.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Christopher Mario Beal,Male,1992-03-19,33.0,Active,,California/United States,United States,"5'8""",135,Bantamweight,6,2,2,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Christopher Reyes,Male,1994-09-14,31.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Christopher Wing,Male,1991-06-22,34.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Christos Giagos,Male,1990-07-23,35.0,Active,,California/United States,United States,"5'10""",155,Lightweight,20,5,3,12,0,11,4,3,4,0,0,True,False,False,False,False,False,False,False,False,False,1.6666666666666667
Christos Nicolaou,Male,1988-01-14,38.0,Active,,Greece,Greece,"6'0""",170,Welterweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Chuck Campbell,Male,1986-06-07,39.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chuck Liddell,Male,1969-12-17,56.0,Retired,,California/United States,United States,"6'2""",205,Light Heavyweight,21,13,1,7,0,9,7,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.1
Chuck Mady,Male,1989-08-21,36.0,Active,,United States,United States,"6'0""",170,Welterweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Chuck O'Neil,Male,1984-11-02,41.0,Active,,United States,United States,"5'10""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Chuka Willis,Male,1991-02-11,35.0,Active,,United States,United States,"5'9""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Chunbo Yuan,Male,1995-10-08,30.0,Active,,China,China,"5'8""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Chunyan Xu,Male,1990-07-07,35.0,Active,,China,China,"5'6""",115,Strawweight,6,2,2,2,0,4,1,1,2,0,0,True,False,False,False,False,False,False,False,False,False,1.2
Ciaran Clarke,Male,1994-05-18,31.0,Active,,Ireland,Ireland,"5'9""",155,Lightweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Cindy Dandois,Female,1985-06-22,40.0,Active,,Belgium,Belgium,"5'7""",145,Featherweight,8,1,2,5,0,6,2,1,3,0,0,True,False,False,False,False,False,False,False,False,False,1.1428571428571428
Ciryl Gane,Male,1990-04-12,36.0,Active,,Paris/France,France,"6'4""",265,Heavyweight,12,5,3,4,0,2,1,0,1,0,0,True,False,False,False,False,False,False,False,False,False,4.0
Claire Lopez,Male,1996-09-03,29.0,Active,,France,France,"5'6""",125,Flyweight,3,0,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Claude Patrick,Male,1980-10-29,45.0,Active,,Canada,Canada,"6'1""",170,Welterweight,14,4,2,8,0,9,3,1,5,0,0,True,False,False,False,False,False,False,False,False,False,1.4
Claude Wilcox,Male,1987-03-11,38.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Claudia Diaz,Female,1993-07-02,32.0,Active,,Spain,Spain,"5'5""",115,Strawweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Claudia Gadelha,Female,1988-12-07,37.0,Active,,Brazil,Brazil,"5'4""",115,Strawweight,18,3,7,8,0,5,1,1,3,0,0,True,False,False,False,False,False,False,False,False,False,3.0
Claudio Annicchiarico,Male,1991-11-19,34.0,Active,,Italy,Italy,"5'11""",170,Welterweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Claudio Ledesma,Male,1989-04-09,37.0,Active,,Mexico,Mexico,"5'9""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Claudio Puelles,Male,1996-02-23,30.0,Active,,Peru,Peru,"5'8""",155,Lightweight,13,2,10,1,0,4,1,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.6
Claudio Silva,Male,1982-06-13,44.0,Active,,Brazil,Brazil,"6'0""",170,Welterweight,14,2,10,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.8
Clay Collard,Male,1993-02-09,33.0,Active,,Utah/United States,United States,"5'11""",155,Lightweight,24,10,2,12,0,11,5,2,4,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Clay Guida,Male,1981-12-08,44.0,Active,,Illinois/United States,United States,"5'7""",155,Lightweight,38,7,9,22,0,22,5,6,11,0,0,True,False,False,False,False,False,False,False,False,False,1.6521739130434783
Clay Harvison,Male,1988-09-16,37.0,Active,,United States,United States,"6'0""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Clay Mitchell,Male,1990-05-22,36.0,Active,,United States,United States,"5'10""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Clayton MacFarlane,Male,1989-10-19,36.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cleber Luciano,Male,1982-11-12,43.0,Active,,Brazil,Brazil,"6'0""",185,Middleweight,14,5,4,5,0,8,3,2,3,0,0,True,False,False,False,False,False,False,False,False,False,1.5555555555555556
Cliff Wright,Male,1987-03-08,38.0,Active,,United States,United States,"6'1""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Clifford Starks,Male,1989-04-07,37.0,Active,,California/United States,United States,"5'11""",185,Middleweight,11,6,1,4,0,5,2,1,2,0,0,True,False,False,False,False,False,False,False,False,False,1.8333333333333333
Clint Hester,Male,1987-01-04,39.0,Active,,Louisiana/United States,United States,"6'0""",185,Middleweight,11,6,1,4,0,6,3,1,2,0,0,True,False,False,False,False,False,False,False,False,False,1.5714285714285714
Clint Musser,Male,1990-07-09,35.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Codale Ford,Male,1993-06-11,32.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Codie Shuffield,Male,1995-04-20,31.0,Active,,Texas/United States,United States,"5'7""",135,Bantamweight,8,3,3,2,0,2,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,2.6666666666666665
Cody Bollinger,Male,1979-01-12,47.0,Active,,United States,United States,"6'3""",265,Heavyweight,3,3,0,0,0,3,3,0,0,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cody Carrillo,Male,1992-08-22,33.0,Active,,United States,United States,"5'9""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Cody Donovan,Male,1978-03-07,48.0,Active,,Massachusetts/United States,United States,"6'1""",205,Light Heavyweight,8,5,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.6
Cody Durden,Male,1991-05-26,35.0,Active,,Georgia/United States,United States,"5'7""",125,Flyweight,16,6,5,5,0,6,2,1,3,0,0,True,False,False,False,False,False,False,False,False,False,2.2857142857142856
Cody East,Male,1988-04-13,37.0,Active,,Alaska/United States,United States,"6'4""",265,Heavyweight,13,11,1,1,0,6,3,2,1,0,0,True,False,False,False,False,False,False,False,False,False,1.8571428571428572
Cody Garbrandt,Male,1991-07-07,34.0,Active,,Ohio/United States,United States,"5'8""",135,Bantamweight,14,11,0,3,0,6,4,0,2,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Cody Gibson,Male,1987-03-13,39.0,Active,,California/United States,United States,"5'7""",135,Bantamweight,20,7,5,8,0,8,3,2,3,0,0,True,False,False,False,False,False,False,False,False,False,2.2222222222222223
Cody Jones,Male,1990-12-01,35.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cody Law,Male,1994-05-10,31.0,Active,,Pennsylvania/United States,United States,"5'8""",145,Featherweight,7,3,2,2,0,1,0,0,1,0,0,True,False,False,False,False,False,False,False,False,False,3.5
Cody Matthews,Male,1989-02-14,37.0,Active,,United States,United States,"5'11""",170,Welterweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Cody McKenzie,Male,1987-04-16,39.0,Active,,Washington/United States,United States,"5'9""",155,Lightweight,16,3,7,6,0,5,2,1,2,0,0,True,False,False,False,False,False,False,False,False,False,2.6666666666666665
Cody Miskell,Male,1992-09-23,33.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cody Pfister,Male,1983-10-20,42.0,Active,,California/United States,United States,"5'11""",170,Welterweight,10,4,2,4,0,6,3,1,2,0,0,True,False,False,False,False,False,False,False,False,False,1.4285714285714286
Cody Sons,Male,1992-03-04,33.0,Active,,United States,United States,"5'9""",145,Featherweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cody Stamann,Male,1989-11-09,36.0,Active,,Michigan/United States,United States,"5'6""",135,Bantamweight,21,4,5,12,0,7,2,2,3,0,1,True,False,False,False,False,False,False,False,False,False,2.625
Cody Stevens,Male,1991-01-28,35.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cody Vidal,Male,1994-06-12,31.0,Active,,United States,United States,"5'9""",145,Featherweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cody Walker,Male,1989-09-09,36.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Colbey Northcutt,Male,1995-11-02,30.0,Active,,California/United States,United States,"5'9""",155,Lightweight,6,2,2,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.5
Colby Covington,Male,1988-02-22,38.0,Active,,Oregon/United States,United States,"5'11""",170,Welterweight,17,2,6,9,0,4,0,0,4,0,0,True,False,False,False,False,False,True,False,False,False,3.4
Colby Fletcher,Male,1993-04-04,32.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cole Escovedo,Male,1981-02-15,45.0,Active,,California/United States,United States,"5'7""",135,Bantamweight,19,3,8,8,0,9,3,3,3,0,0,True,False,False,False,False,False,False,False,False,False,1.9
Cole Konrad,Male,1984-04-04,42.0,Active,,Minnesota/United States,United States,"6'3""",265,Heavyweight,8,6,2,0,0,1,0,1,0,0,0,True,False,False,False,False,False,False,False,False,False,4.0
Cole Miller,Male,1984-04-09,42.0,Active,,New Jersey/United States,United States,"6'1""",145,Featherweight,22,8,6,8,0,10,4,3,3,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Cole Smith,Male,1995-03-10,30.0,Active,,United States,United States,"5'11""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cole Williams,Male,1988-08-27,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Colin Fletcher,Male,1984-06-22,41.0,Active,,England/United Kingdom,United Kingdom,"6'0""",155,Lightweight,9,2,4,3,0,7,2,2,3,0,0,True,False,False,False,False,False,False,False,False,False,1.125
Colin Robinson,Male,1990-02-14,36.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Colleen Schneider,Male,1993-09-21,32.0,Active,,United States,United States,"5'6""",125,Flyweight,3,0,1,2,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Collin Anglin,Male,1991-06-06,34.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Collin Hart,Male,1992-04-03,33.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Collin Tebo,Male,1989-12-17,36.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Colton Smith,Male,1994-08-08,31.0,Active,,United States,United States,"5'9""",145,Featherweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Connor Dixon,Male,1992-10-17,33.0,Active,,England/United Kingdom,United Kingdom,"5'10""",155,Lightweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Conor McGregor,Male,1988-07-14,37.0,Active,,Dublin/Ireland,Ireland,"5'9""",155,Lightweight,22,19,1,2,0,6,3,1,2,0,0,True,True,False,False,False,False,False,False,False,False,3.142857142857143
Constantin Blanita,Male,1989-01-04,37.0,Active,,Romania,Romania,"6'0""",170,Welterweight,4,1,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.8
Constantin Gnusarev,Male,1993-06-12,32.0,Active,,Russia,Russia,"6'1""",185,Middleweight,5,2,1,2,0,4,2,1,1,0,0,True,False,False,False,False,False,False,False,False,False,1.0
Cooper Gibson,Male,1990-03-11,36.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Corey Anderson,Male,1989-07-22,36.0,Active,,Illinois/United States,United States,"6'3""",205,Light Heavyweight,18,7,3,8,0,5,1,1,3,0,0,True,False,False,False,False,False,False,False,False,False,3.0
Corey Browning,Male,1991-09-01,34.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Corey Davis,Male,1990-12-12,35.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Corey Hill,Male,1979-07-31,46.0,Active,,Michigan/United States,United States,"6'4""",205,Light Heavyweight,16,10,3,3,0,7,3,1,3,0,0,True,False,False,False,False,False,False,False,False,False,2.0
Corey Jackson,Male,1992-05-22,33.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Corey Samuels,Male,1991-03-14,35.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Corina Herrera,Male,1994-07-17,31.0,Active,,Mexico,Mexico,"5'5""",115,Strawweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cornelius Savage,Male,1988-02-09,38.0,Active,,United States,United States,"6'2""",205,Light Heavyweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
Cort Wahle,Male,1991-11-04,34.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0.75
