fighter_name,sex,birth_date,age,status,death_date,location,country,height,weight,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,losses,losses_ko,losses_submission,losses_decision,losses_other,draws,pro_mma,pro_boxing,pro_kickboxing,pro_muay_thai,pro_karate,pro_taekwondo,pro_wrestling,pro_bjj,pro_judo,pro_sambo
Danni Neilan,Male,1993-09-19,32.0,Active,,Ireland,Ireland,"5'7""",145,Featherweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Abbadi,Male,1988-04-07,38.0,Active,,United States,United States,"5'9""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Castillo,Male,1984-06-16,41.0,Active,,California/United States,United States,"5'10""",155,Lightweight,17,4,5,8,0,12,3,3,6,0,0,1,0,0,0,0,0,0,0,0,0
Danny Chavez,Male,1992-02-12,34.0,Active,,United States,United States,"5'9""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Henry,Male,1988-06-14,37.0,Active,,Scotland/United Kingdom,United Kingdom,"5'10""",145,Featherweight,13,7,1,5,0,5,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Danny Kingad,Male,1995-01-29,31.0,Active,,Philippines,Philippines,"5'4""",125,Flyweight,11,3,2,6,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Martinez,Male,1991-10-18,34.0,Active,,United States,United States,"5'8""",135,Bantamweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Mitchell,Male,1984-09-12,41.0,Active,,England/United Kingdom,United Kingdom,"6'0""",185,Middleweight,18,9,4,5,0,11,5,2,4,0,0,1,0,0,0,0,0,0,0,0,0
Danny Navarro,Male,1993-06-02,32.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Roberts,Male,1987-05-10,39.0,Active,,England/United Kingdom,United Kingdom,"6'1""",170,Welterweight,18,8,2,8,0,7,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Danny Sabatello,Male,1993-10-09,32.0,Active,,Florida/United States,United States,"5'6""",135,Bantamweight,14,2,6,6,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Sykora,Male,1990-07-21,35.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny Tims,Male,1992-04-02,34.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Danny van Bergen,Male,1994-08-16,31.0,Active,,Netherlands,Netherlands,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dano Moore,Male,1985-02-11,41.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dante Rivera,Male,1984-01-24,42.0,Active,,New Jersey/United States,United States,"5'9""",155,Lightweight,20,7,4,9,0,15,4,4,7,0,0,1,0,0,0,0,0,0,0,0,0
Dante Schiro,Male,1991-06-05,34.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darion Abbey,Male,1992-09-03,33.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darko Banovic,Male,1986-12-02,39.0,Active,,Serbia,Serbia,"6'1""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darko Stosic,Male,1992-01-19,34.0,Active,,Serbia,Serbia,"6'1""",265,Heavyweight,15,11,1,3,0,6,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Daron Cruickshank,Male,1985-06-11,40.0,Active,,Michigan/United States,United States,"5'10""",155,Lightweight,27,17,1,9,0,12,5,2,5,0,0,1,0,0,0,0,0,0,0,0,0
Darrell Gholar,Male,1983-04-19,42.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darrell Horcher,Male,1987-03-06,39.0,Active,,New Jersey/United States,United States,"5'10""",155,Lightweight,13,4,5,4,0,9,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0
Darrell Montague,Male,1991-10-22,34.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darren Elkins,Male,1984-05-16,41.0,Active,,Indiana/United States,United States,"5'10""",145,Featherweight,27,7,7,13,0,10,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0
Darren Smith Jr.,Male,1993-08-21,32.0,Active,,United States,United States,"5'9""",145,Featherweight,4,1,1,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darren Stewart,Male,1990-12-28,35.0,Active,,England/United Kingdom,United Kingdom,"6'0""",185,Middleweight,14,6,1,7,0,9,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0
Darren Till,Male,1992-12-24,33.0,Active,,England/United Kingdom,United Kingdom,"6'0""",185,Middleweight,18,10,2,6,0,5,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Darren Uyenoyama,Male,1988-04-27,38.0,Active,,California/United States,United States,"5'6""",135,Bantamweight,12,2,8,2,0,5,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Darrick Minner,Male,1990-01-05,36.0,Active,,Nebraska/United States,United States,"5'6""",145,Featherweight,29,7,20,2,0,12,3,5,4,0,0,1,0,0,0,0,0,0,0,0,0
Darrill Schoonover,Male,1984-08-23,41.0,Active,,California/United States,United States,"5'11""",170,Welterweight,14,8,1,5,0,7,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Darrion Caldwell,Male,1987-08-08,38.0,Active,,New Jersey/United States,United States,"5'9""",135,Bantamweight,16,3,7,6,0,5,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Darryal Griffin,Male,1992-04-14,33.0,Active,,United States,United States,"6'0""",185,Middleweight,5,2,1,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Darryl Cobb,Male,1989-09-11,36.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dashon Johnson,Male,1991-07-08,34.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Banguigui,Male,1987-02-03,39.0,Active,,United States,United States,"5'9""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Beneteau,Male,1972-07-06,53.0,Active,,Canada,Canada,"5'10""",170,Welterweight,12,6,1,5,0,6,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Dave Berry,Male,1988-05-18,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Blattman,Male,1986-01-09,40.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Cryer,Male,1984-11-02,41.0,Active,,United States,United States,"5'11""",170,Welterweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Galera,Male,1990-04-18,35.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Herman,Male,1984-01-24,42.0,Active,,Indiana/United States,United States,"6'4""",265,Heavyweight,21,15,2,4,0,8,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Dave Huckaba,Male,1982-05-09,43.0,Active,,United States,United States,"6'2""",205,Light Heavyweight,10,5,2,3,0,7,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Dave Jansen,Male,1980-02-18,46.0,Active,,Wisconsin/United States,United States,"5'10""",155,Lightweight,20,4,10,6,0,9,2,3,4,0,0,1,0,0,0,0,0,0,0,0,0
Dave Marfone,Male,1991-08-07,34.0,Active,,United States,United States,"5'9""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Menne,Male,1974-12-13,51.0,Active,,Wisconsin/United States,United States,"5'11""",185,Middleweight,39,9,8,22,0,14,4,2,8,0,0,1,0,0,0,0,0,0,0,0,0
Dave Morgan,Male,1989-03-04,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Roberts,Male,1990-10-19,35.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dave Strasser,Male,1980-01-06,46.0,Active,,Illinois/United States,United States,"5'9""",155,Lightweight,22,4,12,6,0,12,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
Dave Vitkay,Male,1987-09-22,38.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Davey Grant,Male,1986-05-16,39.0,Active,,England/United Kingdom,United Kingdom,"5'8""",135,Bantamweight,16,7,2,7,0,7,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0
Davi Ramos,Male,1985-06-01,41.0,Active,,Brazil,Brazil,"5'7""",155,Lightweight,11,4,6,1,0,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
David Abbott,Male,1965-04-07,61.0,Active,,United States,United States,"6'0""",265,Heavyweight,10,9,0,1,0,14,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Allred,Male,1991-12-09,34.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Aranda Santacana,Male,1993-05-14,32.0,Active,,Spain,Spain,"5'9""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Baron,Male,1977-12-24,48.0,Active,,France,France,"5'7""",155,Lightweight,14,3,7,4,0,10,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0
David Bielkheden,Male,1979-04-27,47.0,Active,,Sweden,Sweden,"6'2""",185,Middleweight,16,4,7,5,0,8,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0
David Blanco,Male,1990-06-11,35.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Branch,Male,1987-05-19,38.0,Active,,New York/United States,United States,"6'1""",185,Middleweight,22,10,5,7,0,7,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0
David Conte,Male,1985-08-17,40.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Dodd,Male,1989-02-03,37.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Duran,Male,1992-11-18,33.0,Active,,Mexico,Mexico,"5'9""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Dvorak,Male,1992-06-23,33.0,Active,,Czech Republic,Czech Republic,"5'5""",125,Flyweight,20,8,3,9,0,6,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0
David Garcia,Male,1991-04-06,35.0,Active,,United States,United States,"5'8""",135,Bantamweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Gomez,Male,1990-09-14,35.0,Active,,Mexico,Mexico,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Hammons,Male,1988-07-22,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Harris,Male,1985-01-19,41.0,Active,,United States,United States,"6'1""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Heath,Male,1988-06-14,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Kaplan,Male,1990-03-09,36.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Khalsa,Male,1985-11-21,40.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Lee,Male,1991-07-18,34.0,Active,,United States,United States,"5'9""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Levicki,Male,1981-08-17,44.0,Active,,United States,United States,"6'3""",265,Heavyweight,10,9,1,0,0,5,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
David Loiseau,Male,1979-01-22,47.0,Active,,Canada,Canada,"6'0""",185,Middleweight,22,11,4,7,0,12,4,3,5,0,0,1,0,0,0,0,0,0,0,0,0
David Malka,Male,1992-02-08,34.0,Active,,France,France,"5'9""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Meak,Male,1989-05-27,36.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Mejia,Male,1994-11-09,31.0,Active,,Mexico,Mexico,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Meshkhoradze,Male,1993-04-14,32.0,Active,,Georgia,Georgia,"6'0""",170,Welterweight,5,2,1,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Michaud,Male,1988-07-19,37.0,Active,,Utah/United States,United States,"5'11""",170,Welterweight,18,6,4,8,0,12,3,3,6,0,0,1,0,0,0,0,0,0,0,0,0
David Mitchell,Male,1987-12-06,38.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Mundell,Male,1990-03-25,36.0,Active,,California/United States,United States,"6'1""",185,Middleweight,9,5,2,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Overfield,Male,1986-10-02,39.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Pacheco,Male,1991-01-14,35.0,Active,,Mexico,Mexico,"5'8""",135,Bantamweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Ramirez,Male,1990-08-07,35.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Rangel,Male,1992-05-18,33.0,Active,,United States,United States,"5'9""",145,Featherweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Rickels,Male,1988-01-14,38.0,Active,,Missouri/United States,United States,"5'8""",155,Lightweight,22,10,2,10,0,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
David Rivera,Male,1994-03-29,31.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Sharp,Male,1987-06-11,38.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Shepherd,Male,1989-09-02,36.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Terrell,Male,1977-01-22,49.0,Active,,California/United States,United States,"6'1""",185,Middleweight,18,10,4,4,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Teymur,Male,1990-03-23,36.0,Active,,Sweden,Sweden,"5'7""",155,Lightweight,7,5,0,2,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
David Velasquez,Male,1991-11-14,34.0,Active,,United States,United States,"5'8""",135,Bantamweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
David Zawada,Male,1990-07-15,35.0,Active,,Germany,Germany,"6'1""",170,Welterweight,19,8,4,7,0,9,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0
Davie McLaughlin,Male,1993-02-26,33.0,Active,,Ireland,Ireland,"5'10""",155,Lightweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Davin Clark,Male,1991-05-04,34.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Davion Franklin,Male,1995-09-21,30.0,Active,,United States,United States,"6'2""",265,Heavyweight,6,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dawna Aung,Male,1994-12-11,31.0,Active,,Myanmar,Myanmar,"5'5""",115,Strawweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dawond Pickney,Male,1989-07-18,36.0,Active,,United States,United States,"6'0""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
DeAnna Bennett,Male,1995-02-07,31.0,Active,,California/United States,United States,"5'4""",125,Flyweight,10,2,2,6,0,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
DeMarco Villalona,Male,1992-10-11,33.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
DeMarcus Brown,Male,1990-08-02,35.0,Active,,United States,United States,"6'1""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
DeMarcus Simmons,Male,1989-04-15,36.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
DeWayne Diggs,Male,1987-11-03,38.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dean Garnett,Male,1990-06-22,35.0,Active,,England/United Kingdom,United Kingdom,"5'10""",145,Featherweight,11,5,3,3,0,6,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Dean Hancock,Male,1992-01-17,34.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dean Lister,Male,1970-02-13,56.0,Active,,California/United States,United States,"6'0""",185,Middleweight,13,2,7,4,0,7,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0
Deborah Kouzmin,Male,1995-04-19,30.0,Active,,France,France,"5'6""",125,Flyweight,3,0,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Deiveson Figueiredo,Male,1987-12-18,38.0,Active,,Para/Brazil,Brazil,"5'5""",125,Flyweight,23,9,8,6,0,4,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0
Deividas Taurosevicius,Male,1994-08-09,31.0,Active,,Lithuania,Lithuania,"6'0""",170,Welterweight,6,2,2,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dejdamrong Sor Amnuaysirichoke,Male,1978-11-10,47.0,Active,,Thailand,Thailand,"5'7""",125,Flyweight,13,4,6,3,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Deligerihu Liu,Male,1997-03-02,28.0,Active,,China,China,"5'11""",185,Middleweight,6,3,1,2,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Delson Heleno,Male,1989-07-27,36.0,Active,,Brazil,Brazil,"5'10""",170,Welterweight,6,2,2,2,0,5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Demario Cade,Male,1991-12-04,34.0,Active,,United States,United States,"5'9""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Demarques Jackson,Male,1987-02-11,40.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Demetrious Johnson,Male,1986-08-13,39.0,Active,,Washington/United States,United States,"5'3""",125,Flyweight,25,5,8,12,0,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Demetrius Plaza,Male,1993-01-19,33.0,Active,,United States,United States,"5'10""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Demetrius Richards,Male,1990-10-07,35.0,Active,,United States,United States,"6'1""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Demi Deeds,Male,1994-09-14,31.0,Active,,United States,United States,"5'6""",125,Flyweight,3,0,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Demian Maia,Male,1977-11-06,48.0,Active,,Brazil,Brazil,"6'1""",185,Middleweight,28,3,13,12,0,11,1,2,8,0,0,1,0,0,0,0,0,0,1,0,0
Denice Zamboanga,Male,1997-10-21,28.0,Active,,Philippines,Philippines,"5'4""",115,Strawweight,11,2,6,3,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Denis Kang,Male,1977-09-17,48.0,Active,,Canada,Canada,"5'11""",185,Middleweight,35,13,10,12,0,17,4,6,7,0,0,1,0,0,0,0,0,0,0,0,0
Denis Palancica,Male,1993-06-11,32.0,Active,,Slovakia,Slovakia,"5'10""",155,Lightweight,5,2,1,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Denis Puric,Male,1985-08-30,40.0,Active,,Bosnia and Herzegovina,Bosnia and Herzegovina,"6'0""",185,Middleweight,6,4,1,1,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Denis Stojnic,Male,1979-09-06,46.0,Active,,Bosnia and Herzegovina,Bosnia and Herzegovina,"6'4""",265,Heavyweight,10,9,1,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Denise Kielholtz,Male,1988-03-22,37.0,Active,,Netherlands,Netherlands,"5'6""",125,Flyweight,7,3,1,3,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dennis Bermudez,Male,1986-10-01,39.0,Active,,New York/United States,United States,"5'5""",145,Featherweight,17,5,4,8,0,8,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0
Dennis Buzukja,Male,1991-03-22,35.0,Active,,New York/United States,United States,"5'10""",155,Lightweight,11,5,1,5,0,6,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Dennis Hallman,Male,1975-08-24,50.0,Active,,Washington/United States,United States,"5'10""",155,Lightweight,53,15,29,9,0,14,5,6,3,0,0,1,0,0,0,0,0,0,0,0,0
Dennis Olson,Male,1988-05-06,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Dennis Siver,Male,1978-01-22,48.0,Active,,Germany,Germany,"5'11""",155,Lightweight,22,8,2,12,0,11,4,1,6,0,0,1,0,0,0,0,0,0,0,0,0
Dequan Townsend,Male,1986-06-13,39.0,Active,,Michigan/United States,United States,"6'0""",185,Middleweight,22,11,3,8,0,11,5,2,4,0,0,1,0,0,0,0,0,0,0,0,0
Deray Davis,Male,1992-09-17,33.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derek Anderson,Male,1990-05-22,35.0,Active,,England/United Kingdom,United Kingdom,"5'11""",155,Lightweight,18,8,4,6,0,5,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
Derek Arcement,Male,1988-04-14,37.0,Active,,United States,United States,"6'1""",185,Middleweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derek Bohi,Male,1992-10-11,33.0,Active,,United States,United States,"5'10""",155,Lightweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derek Brunson,Male,1984-01-04,42.0,Active,,North Carolina/United States,United States,"6'1""",185,Middleweight,23,9,3,11,0,9,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0
Derek Campos,Male,1988-07-30,37.0,Active,,Texas/United States,United States,"5'10""",155,Lightweight,20,6,5,9,0,7,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0
Derek Downey,Male,1977-08-18,48.0,Active,,Pennsylvania/United States,United States,"6'2""",185,Middleweight,12,6,2,4,0,9,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0
Derek Loffer,Male,1990-02-27,36.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derek Palmer,Male,1986-11-02,39.0,Active,,United States,United States,"6'1""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derek Wilson,Male,1991-08-07,34.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derigun Yi,Male,1994-04-18,31.0,Active,,China,China,"5'8""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Deron Carlis,Male,1989-03-06,37.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Deron Winn,Male,1989-05-01,36.0,Active,,California/United States,United States,"5'6""",185,Middleweight,7,3,1,3,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Adkins,Male,1990-07-13,35.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Kennington,Male,1988-09-21,37.0,Active,,United States,United States,"6'1""",185,Middleweight,4,2,1,1,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Krantz,Male,1992-11-19,33.0,Active,,United States,United States,"6'0""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Lewis,Male,1985-02-07,41.0,Active,,Texas/United States,United States,"6'3""",265,Heavyweight,27,22,1,4,0,11,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Mehmen,Male,1986-12-24,39.0,Active,,United States,United States,"6'1""",205,Light Heavyweight,22,16,2,4,0,9,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Noble,Male,1987-04-09,38.0,Active,,United States,United States,"5'11""",170,Welterweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Derrick Ruffin,Male,1991-06-21,34.0,Active,,United States,United States,"5'9""",145,Featherweight,4,1,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Desi Rahayu,Male,1996-02-11,30.0,Active,,Indonesia,Indonesia,"5'5""",115,Strawweight,3,1,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Desiree Yanez,Male,1994-07-02,31.0,Active,,United States,United States,"5'6""",125,Flyweight,3,0,1,2,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
